symbol,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,pnl_pct
BTCUSDT,BUY,2026-02-06T23:59:59+08:00,2026-02-07T21:59:59+08:00,68634.300000,68982.121685,0.14424275,50.1708,9.9502,40.2206,0.5068
BTCUSDT,BUY,2026-02-08T12:59:59+08:00,2026-02-09T17:59:59+08:00,69387.026175,69575.834680,0.14311058,27.0205,9.9570,17.0635,0.2721
BTCUSDT,BUY,2026-02-10T08:59:59+08:00,2026-02-10T14:59:59+08:00,69928.686870,68878.083730,0.14210305,-149.2939,9.7878,-159.0817,-1.5024
BTCUSDT,BUY,2026-02-12T11:59:59+08:00,2026-02-13T02:59:59+08:00,67604.235225,65568.179510,0.14451389,-294.2383,9.4755,-303.7138,-3.0117
BTCUSDT,BUY,2026-02-13T21:59:59+08:00,2026-02-16T00:59:59+08:00,67318.032195,69017.763855,0.14051810,238.8431,9.6982,229.1448,2.5249
BTCUSDT,BUY,2026-02-17T12:59:59+08:00,2026-02-17T17:59:59+08:00,68515.830795,68082.731605,0.14123584,-61.1691,9.6157,-70.7848,-0.6321
BTCUSDT,BUY,2026-02-18T19:59:59+08:00,2026-02-19T01:59:59+08:00,67412.729520,67139.403505,0.14236530,-38.9121,9.5583,-48.4705,-0.4055
BTCUSDT,BUY,2026-02-20T07:59:59+08:00,2026-02-22T13:59:59+08:00,67014.560535,67943.521245,0.14235334,132.2407,9.6720,122.5687,1.3862
