time,equity,cash
2026-02-04T23:00:00+08:00,10000.0000,10000.0000
2026-02-04T23:59:59+08:00,10000.0000,10000.0000
2026-02-05T00:59:59+08:00,10000.0000,10000.0000
2026-02-05T01:59:59+08:00,10000.0000,10000.0000
2026-02-05T02:59:59+08:00,10000.0000,10000.0000
2026-02-05T03:59:59+08:00,10000.0000,10000.0000
2026-02-05T04:59:59+08:00,10000.0000,10000.0000
2026-02-05T05:59:59+08:00,10000.0000,10000.0000
2026-02-05T06:59:59+08:00,10000.0000,10000.0000
2026-02-05T07:59:59+08:00,10000.0000,10000.0000
2026-02-05T08:59:59+08:00,10000.0000,10000.0000
2026-02-05T09:59:59+08:00,10000.0000,10000.0000
2026-02-05T10:59:59+08:00,10000.0000,10000.0000
2026-02-05T11:59:59+08:00,10000.0000,10000.0000
2026-02-05T12:59:59+08:00,10000.0000,10000.0000
2026-02-05T13:59:59+08:00,10000.0000,10000.0000
2026-02-05T14:59:59+08:00,10000.0000,10000.0000
2026-02-05T15:59:59+08:00,10000.0000,10000.0000
2026-02-05T16:59:59+08:00,10000.0000,10000.0000
2026-02-05T17:59:59+08:00,10000.0000,10000.0000
2026-02-05T18:59:59+08:00,10000.0000,10000.0000
2026-02-05T19:59:59+08:00,10000.0000,10000.0000
2026-02-05T20:59:59+08:00,10000.0000,10000.0000
2026-02-05T21:59:59+08:00,10000.0000,10000.0000
2026-02-05T22:59:59+08:00,10000.0000,10000.0000
2026-02-05T23:59:59+08:00,10000.0000,10000.0000
2026-02-06T00:59:59+08:00,10000.0000,10000.0000
2026-02-06T01:59:59+08:00,10000.0000,10000.0000
2026-02-06T02:59:59+08:00,10000.0000,10000.0000
2026-02-06T03:59:59+08:00,10000.0000,10000.0000
2026-02-06T04:59:59+08:00,10000.0000,10000.0000
2026-02-06T05:59:59+08:00,10000.0000,10000.0000
2026-02-06T06:59:59+08:00,10000.0000,10000.0000
2026-02-06T07:59:59+08:00,10000.0000,10000.0000
2026-02-06T08:59:59+08:00,10000.0000,10000.0000
2026-02-06T09:59:59+08:00,10000.0000,10000.0000
2026-02-06T10:59:59+08:00,10000.0000,10000.0000
2026-02-06T11:59:59+08:00,10000.0000,10000.0000
2026-02-06T12:59:59+08:00,10000.0000,10000.0000
2026-02-06T13:59:59+08:00,10000.0000,10000.0000
2026-02-06T14:59:59+08:00,10000.0000,10000.0000
2026-02-06T15:59:59+08:00,10000.0000,10000.0000
2026-02-06T16:59:59+08:00,10000.0000,10000.0000
2026-02-06T17:59:59+08:00,10000.0000,10000.0000
2026-02-06T18:59:59+08:00,10000.0000,10000.0000
2026-02-06T19:59:59+08:00,10000.0000,10000.0000
2026-02-06T20:59:59+08:00,10000.0000,10000.0000
2026-02-06T21:59:59+08:00,10000.0000,10000.0000
2026-02-06T22:59:59+08:00,10000.0000,10000.0000
2026-02-06T23:59:59+08:00,9985.1525,90.1000
2026-02-07T00:59:59+08:00,10178.4103,90.1000
2026-02-07T01:59:59+08:00,10308.5447,90.1000
2026-02-07T02:59:59+08:00,10153.9352,90.1000
2026-02-07T03:59:59+08:00,10291.7664,90.1000
2026-02-07T04:59:59+08:00,10193.1130,90.1000
2026-02-07T05:59:59+08:00,10237.4027,90.1000
2026-02-07T06:59:59+08:00,10385.8329,90.1000
2026-02-07T07:59:59+08:00,10269.2919,90.1000
2026-02-07T08:59:59+08:00,10181.0341,90.1000
2026-02-07T09:59:59+08:00,10256.4082,90.1000
2026-02-07T10:59:59+08:00,10236.3988,90.1000
2026-02-07T11:59:59+08:00,10317.9306,90.1000
2026-02-07T12:59:59+08:00,10297.3443,90.1000
2026-02-07T13:59:59+08:00,10206.0617,90.1000
2026-02-07T14:59:59+08:00,10011.8763,90.1000
2026-02-07T15:59:59+08:00,9913.2388,90.1000
2026-02-07T16:59:59+08:00,9970.0070,90.1000
2026-02-07T17:59:59+08:00,9915.2322,90.1000
2026-02-07T18:59:59+08:00,9898.6660,90.1000
2026-02-07T19:59:59+08:00,9896.0162,90.1000
2026-02-07T20:59:59+08:00,10045.7445,90.1000
2026-02-07T21:59:59+08:00,10030.3206,10030.3206
2026-02-07T22:59:59+08:00,10030.3206,10030.3206
2026-02-07T23:59:59+08:00,10030.3206,10030.3206
2026-02-08T00:59:59+08:00,10030.3206,10030.3206
2026-02-08T01:59:59+08:00,10030.3206,10030.3206
2026-02-08T02:59:59+08:00,10030.3206,10030.3206
2026-02-08T03:59:59+08:00,10030.3206,10030.3206
2026-02-08T04:59:59+08:00,10030.3206,10030.3206
2026-02-08T05:59:59+08:00,10030.3206,10030.3206
2026-02-08T06:59:59+08:00,10030.3206,10030.3206
2026-02-08T07:59:59+08:00,10030.3206,10030.3206
2026-02-08T08:59:59+08:00,10030.3206,10030.3206
2026-02-08T09:59:59+08:00,10030.3206,10030.3206
2026-02-08T10:59:59+08:00,10030.3206,10030.3206
2026-02-08T11:59:59+08:00,10030.3206,10030.3206
2026-02-08T12:59:59+08:00,10015.4280,90.3732
2026-02-08T13:59:59+08:00,9996.8179,90.3732
2026-02-08T14:59:59+08:00,10016.1364,90.3732
2026-02-08T15:59:59+08:00,10066.7103,90.3732
2026-02-08T16:59:59+08:00,10202.8256,90.3732
2026-02-08T17:59:59+08:00,10140.4380,90.3732
2026-02-08T18:59:59+08:00,10140.6798,90.3732
2026-02-08T19:59:59+08:00,10251.2213,90.3732
2026-02-08T20:59:59+08:00,10287.3968,90.3732
2026-02-08T21:59:59+08:00,10321.9981,90.3732
2026-02-08T22:59:59+08:00,10282.5053,90.3732
2026-02-08T23:59:59+08:00,10274.4167,90.3732
2026-02-09T00:59:59+08:00,10166.1435,90.3732
2026-02-09T01:59:59+08:00,10219.0959,90.3732
2026-02-09T02:59:59+08:00,10272.4589,90.3732
2026-02-09T03:59:59+08:00,10312.7374,90.3732
2026-02-09T04:59:59+08:00,10229.2123,90.3732
2026-02-09T05:59:59+08:00,10211.6956,90.3732
2026-02-09T06:59:59+08:00,10257.0989,90.3732
